S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
1,ANDHRA PRADESH,ANANTAPUR,89200.23,46136.12,1013.97,50415.31,186765.62,177427.31,142953.85,157838.79,59410.09,88.96
2,ANDHRA PRADESH,CHITTOOR,115718.55,32389.6,1204.19,38028.6,187340.94,177973.88,95256.5,104853.79,80858.36,58.92
3,ANDHRA PRADESH,EAST GODAVARI,104140.05,95383.56,3714.55,50847.53,254085.69,241381.36,41688.32,51106.47,193656.03,21.17
4,ANDHRA PRADESH,GUNTUR,52942.86,57011.9,2547.96,18800.39,131303.1,124737.95,39174.72,48117.07,79051.91,38.57
5,ANDHRA PRADESH,KADAPA,93311.68,15869.52,2048.53,11177.61,122407.34,116286.94,74888.06,79862.47,56568.63,68.68
6,ANDHRA PRADESH,KRISHNA,52891.68,70806.39,21641.6,17375.91,162715.57,154579.78,47223.03,56995.83,98790.07,36.87
7,ANDHRA PRADESH,KURNOOL,90024.09,43892.8,1203.46,26774.23,161894.57,153799.81,53291.48,64300.17,94278.99,41.81
8,ANDHRA PRADESH,NELLORE,128089.98,46637.76,5.16,93668.83,268401.73,254981.59,90301.92,96710.05,159531.34,37.93
9,ANDHRA PRADESH,PRAKASAM,39372.56,26669.85,56344.85,36593,158980.26,151031.21,54372.39,64629.64,94941.54,42.79
10,ANDHRA PRADESH,SRIKAKULAM,34847.68,35719.34,17837.37,19681.53,108085.91,102681.56,40762.37,49510.36,63919.93,48.22
11,ANDHRA PRADESH,VISAKHAPATNAM,61906.83,10809.63,6823.31,2690.68,82230.45,77691.9,12608.08,19104.57,59560.86,24.59
12,ANDHRA PRADESH,VIZIANAGARAM,59226.39,21945.67,6795.38,17486.23,105453.67,100180.9,20595.54,21106.97,77587.51,21.07
13,ANDHRA PRADESH,WEST GODAVARI,74662.56,58478.66,48.11,58931.01,192120.35,182514.32,71924.15,75567.04,113241.04,41.4
15,ARUNACHAL PRADESH,CHANGLANG,12375.64,696,13629.49,71.16,26772.29,23922.85,0,174,23350.98,0.73
17,ARUNACHAL PRADESH,EAST KAMENG,7281.63,233,2413.44,0,9928.07,8935.26,0,25,8766.2,0.28
18,ARUNACHAL PRADESH,EAST SIANG,56206.01,5327,20135.02,670.93,82338.96,69031.84,0,65,68855.68,0.09
20,ARUNACHAL PRADESH,LOHIT,55018.3,2311,31078.96,0,88408.26,79567.43,0,218.48,78900.96,0.27
21,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,39162.24,1749,20240.3,0,61151.54,55036.39,0,32,54973.98,0.06
22,ARUNACHAL PRADESH,LOWER SUBANSIRI,1358.9,1227,729.69,78.74,3394.33,2655.68,0,18,2550.48,0.68
23,ARUNACHAL PRADESH,PAPUM PARE,6076.25,1950,3165.94,3.53,11195.72,9746.46,0,99.4,9239.72,1.02
25,ARUNACHAL PRADESH,TIRAP,5204.06,819,1866.92,0,7889.98,7495.48,0,63,7360.23,0.84
27,ARUNACHAL PRADESH,UPPER SUBANSIRI,103.31,912,42.45,0,1057.76,951.98,0,16,844.74,1.68
28,ARUNACHAL PRADESH,WEST KAMENG,2976.01,318,668.99,0,3963,3566.7,0,11.72,3535.72,0.33
29,ARUNACHAL PRADESH,WEST SIANG,3148.38,2126,1125.57,0,6399.95,5759.95,0,21.9,5715.34,0.38
30,ASSAM,BAKSA,92583.69,1652.06,28843.21,1256.04,124335,107025.37,2548.56,5107.36,101465.32,4.77
31,ASSAM,BARPETA,110295.03,2216.29,26788.85,7861.3,147161.47,138867.99,24276,28683.4,109421.07,20.66
32,ASSAM,BONGAIGAON,43080.26,1088.59,14971.04,3252.26,62392.15,58584.99,10024.56,12021.11,46236.65,20.52
33,ASSAM,CACHAR,57788.78,1223.79,36771.75,1418.09,97202.41,56355.58,0,4628.94,50985.94,8.21
34,ASSAM,CHIRANG,67557.61,1956.57,26339.72,627.49,96481.38,86833.24,1522.08,2693.03,84031.49,3.1
35,ASSAM,DARRANG,44493.56,2048.29,17536.82,5974.18,70052.85,55085.97,15469.44,17834.6,36839.32,32.38
36,ASSAM,DHEMAJI,173356.96,296.11,39037.38,616.18,213306.63,185382.68,1631.28,3250.22,181874.23,1.75
37,ASSAM,DHUBRI,94570.56,2012.96,24694.29,6935.06,128212.87,115391.58,23570.4,28285.75,86172.85,24.51
38,ASSAM,DIBRUGARH,121093.52,513.27,48314.08,1614.29,171535.16,149087.98,4890.48,8353.23,140417.47,5.6
39,ASSAM,DIMA HASAO,1685.89,531.66,2107.09,131.74,4456.37,4010.74,337.68,832.38,3123.19,20.75
40,ASSAM,GOALPARA,69946.47,1721.96,24384.58,3473.62,99526.63,83886.27,9866.64,12159.24,71307.97,14.49
41,ASSAM,GOLAGHAT,81499.92,1472.98,35673.68,1444.32,120090.9,103611.38,3677.52,5658.49,97757.82,5.46
42,ASSAM,HAILAKANDI,17628.82,852.67,12101.28,1407.83,31990.6,20762.93,5.04,1025.49,19586.39,4.94
43,ASSAM,JORHAT,71479.54,698.57,36102.78,1526.48,109807.38,85782,4215.12,6494.45,79116.95,7.57
44,ASSAM,KAMRUP,61672.48,2243.34,25759.62,6174.53,95849.96,79810.13,20144.88,24110.95,55258.35,30.21
45,ASSAM,KAMRUP METRO (RURAL),17327.69,487.97,7237.5,944.65,25997.81,22333.35,1537.2,3082.04,19209.27,13.8
46,ASSAM,KAMRUP METRO (U),5076.1,769.75,2120.21,1571.58,9537.64,6578.94,0,2982.74,3572.7,45.34
47,ASSAM,KARBI ANGLONG,27629.74,4865.69,10678.3,778.14,43951.87,29445.06,342.72,1404.98,27920.37,4.77
48,ASSAM,KARIMGANJ,32091.37,785.15,26112.55,891.83,59880.9,47850.34,80.64,1335.93,46295.22,2.79
49,ASSAM,KOKRAJHAR,187662.43,1847.76,46828.25,1905.09,238243.53,197599.19,5913.6,6535.93,191036.05,3.31
50,ASSAM,LAKHIMPUR,90950.92,513.78,27460.03,1292.4,120217.12,113560.8,3044.16,5505.5,107715.92,4.85
51,ASSAM,MORIGAON,42631.34,1102.5,12067.25,3418.57,59219.66,43676.75,10777.2,13306.22,29897.9,30.47
52,ASSAM,NAGAON,90955.7,3279.08,29182.99,9128.92,132546.69,124831.28,26891.76,34420.67,89105.22,27.57
53,ASSAM,NALBARI,36992.74,912.51,12882.88,2811.29,53599.41,33912.95,7153.44,8715.16,25045.54,25.7
54,ASSAM,SIVASAGAR,69613.93,565.19,27055.33,1004.37,98238.82,55238.42,2437.68,5411.34,49606.31,9.8
55,ASSAM,SONITPUR,153397.89,1568.99,53380.03,2918.99,211265.91,187728.28,8611.68,14632.72,172455.05,7.79
56,ASSAM,TINSUKIA,121394.33,469.78,51609.72,1538.84,175012.67,168303.29,4033.68,7589.89,160285.02,4.51
57,ASSAM,UDALGURI,37653.44,5576.43,22261.25,1602.76,67093.88,64135.16,4467.12,6746.99,57236.98,10.52
58,BIHAR,ARARIA,68115.68,5490.17,23116.63,2253.9,98976.38,91880.35,11922.9,18032.08,73848.23,19.63
59,BIHAR,ARWAL,12851.81,4814.68,1563.54,3241.27,22471.3,21195.48,6339.79,8173.23,13022.22,38.56
60,BIHAR,AURANGABAD,72714.15,10049.92,12734.88,8267.84,103766.79,98578.45,20499.58,26220.51,72357.9,26.6
61,BIHAR,BANKA,30603.57,8460.49,6122.18,4660.01,49846.25,46835.57,11808.54,16195.2,30658.22,34.58
62,BIHAR,BEGUSARAI,44390.79,6438.5,4751.7,15894.35,71475.34,64327.81,26045.4,33649.78,30677.92,52.31
63,BIHAR,BHABHUA,59233.91,14993.94,3682.25,20846.79,98756.89,89901.33,25513.2,29836.51,60064.77,33.19
64,BIHAR,BHAGALPUR,60365.06,3006.16,8725.8,3404.01,75501.03,70491.88,13838,19367.83,51123.98,27.48
65,BIHAR,BHOJPUR,55130.76,17566.73,3058.45,17998.66,93754.6,84743.03,40226.48,47425.58,37317.37,55.96
66,BIHAR,BUXAR,30439.74,17328.23,2182.74,15881.84,65832.55,59249.3,26289,30542.28,28706.97,51.55
67,BIHAR,DARBHANGA,54719.49,13978.6,10699.34,16416.13,95813.56,87982.07,20754.3,30066.53,57915.45,34.17
68,BIHAR,EAST CHAMPARAN,92005.72,23656.96,15607.44,14524.88,145795,133709.02,44138.44,55994.23,77714.64,41.88
69,BIHAR,GAYA,80826.07,8504.1,14017.31,12027.57,115375.05,107840.86,59207.33,70904.67,38745.06,65.75
70,BIHAR,GOPALGANJ,50922.1,15962.57,5863.56,16551.23,89299.46,81825.32,52663.2,60083.74,23024.45,73.43
71,BIHAR,JAMUI,30260.9,3479.48,2260.92,4315.43,40316.73,36951.43,8131.51,11806.02,25145.36,31.95
72,BIHAR,JEHANABAD,21152.49,3968.81,1805.45,8343.55,35270.3,32366.59,27537.99,30976.58,2280.46,95.71
73,BIHAR,KATIHAR,82157.68,7797.79,11091.52,8793.29,109840.28,100153.66,55644.33,63822.1,36331.5,63.72
74,BIHAR,KHAGARIA,38532.68,5090.31,3974.6,28655.65,76253.24,68627.92,18258.48,22193.66,46434.23,32.34
75,BIHAR,KISHANGANJ,59622.24,1001.98,16093.09,2230.2,78947.51,71052.76,11648.7,15364.52,55688.2,21.62
76,BIHAR,LAKHISARAI,21916.4,5238.04,1686.96,3331.36,32172.76,28955.48,6478.48,8646.91,20659,29.86
77,BIHAR,MADHEPURA,38398.84,7157.06,8821.12,10202.9,64579.92,60472.3,29938.95,35237.45,25234.8,58.27
78,BIHAR,MADHUBANI,75981.86,17619.79,9595.41,13937.27,117134.33,105917.86,29360.7,38888.58,67029.18,36.72
79,BIHAR,MUNGER,25119.64,5925.68,1741.87,4647.44,37434.63,34195.61,8305.8,11300,22988.52,33.05
80,BIHAR,MUZAFFARPUR,65578.77,19895.06,9378.41,24801,119653.24,110115.58,62215.71,74384.67,36390.05,67.55
81,BIHAR,NALANDA,50252.21,11209.91,6604.69,20515.03,88581.84,80255.93,47302.64,55246.39,25190.6,68.84
82,BIHAR,NAWADA,41340.26,7047.17,3921.06,10570.99,62879.48,58107.82,26098.05,30764.72,27342.98,52.94
83,BIHAR,PATNA,68567.74,9290.91,9689.58,12754.29,100302.52,93154.86,42572.72,55946.22,37411.34,60.06
84,BIHAR,PURNIA,80325.57,3941.22,28554.42,4335.13,117156.34,110710.84,52635.73,61128.95,49581.82,55.21
85,BIHAR,ROHTAS,87894.68,12299.81,10245.26,5240.61,115680.36,105588.25,19053.39,25651.16,79936.95,24.29
86,BIHAR,SAHARSA,38572.31,4997.73,6107.21,4159.38,53836.63,50495.74,16507.2,20607.68,29888.01,40.81
87,BIHAR,SAMASTIPUR,57602.36,27253.08,12853.22,36126.18,133834.84,125997.07,49445.7,59539.83,66457.14,47.25
88,BIHAR,SARAN,59443.26,10320.09,6265.22,11768.1,87796.67,81955.8,42716.7,52197.83,29757.9,63.69
89,BIHAR,SHEIHKPURA,14400.81,2865.05,1937.21,4133.93,23337,21718.82,6720.9,8330.52,13388.26,38.36
90,BIHAR,SHEOHAR,12124.72,1311.34,109.15,895.03,14440.24,13102.2,6048,7592.74,5509.43,57.95
91,BIHAR,SITAMARHI,55703.5,7025.21,2533.52,4967.33,70229.56,65423.17,22680.86,30030.3,35392.79,45.9
92,BIHAR,SIWAN,45698.33,23943.23,4768.49,19838.17,94248.22,88288.8,42117.26,50153.82,38134.89,56.81
93,BIHAR,SUPAUL,53625.57,11013.31,18893.06,8670.44,92202.38,85692.53,25006.95,30260.74,55431.73,35.31
94,BIHAR,VAISHALI,47520.05,12004.78,6996.69,10363.93,76885.45,69933.98,35099.18,43557.63,26764.35,62.28
95,BIHAR,WEST CHAMPARAN,98972.51,22636.52,16150.1,33960.02,171719.15,160996.03,27144.2,36297.19,124698.75,22.55
96,CHATTISGARH,BALOD,17178.84,7717.07,0,9938.71,34834.62,32120.86,18571.03,20809.54,11090.46,64.79
97,CHATTISGARH,BALODA BAZAR,35270.94,15185.95,3199.33,6853.85,60510.07,54459.05,17672.41,21813.93,31348.53,40.06
98,CHATTISGARH,BALRAMPUR,47125.34,1471.44,4687.57,3158.93,56443.28,51267.02,14188.27,16014.22,34968.13,31.24
99,CHATTISGARH,BASTAR,25306.64,725.98,4795.7,1639.88,32468.2,29627.96,5618.18,7734.22,21621.62,26.1
100,CHATTISGARH,BEMETARA,16646.26,12525.56,0,13977.93,43149.75,38834.78,28286.77,30314.79,7969.48,78.06
101,CHATTISGARH,BIJAPUR,34518.65,188.02,4178.56,562.23,39447.46,35502.72,1874.06,2494.7,32938.55,7.03
102,CHATTISGARH,BILASPUR,30466.89,7457.13,4692.02,7166.4,49782.44,45677.92,17798.32,23917.64,20327.51,52.36
103,CHATTISGARH,DANTEWARA,17272.01,139.37,2803.05,931.39,21145.82,19916.77,2138.23,2832.54,17019.83,14.22
104,CHATTISGARH,DHAMTARI,22019.95,9720,0,11625.92,43365.87,39029.27,22854.81,24893.45,13945.24,63.78
105,CHATTISGARH,DURG,13509.67,8420.75,0,9118.98,31049.4,27944.45,17603.39,23068.44,5250.29,82.55
106,CHATTISGARH,GARIABAND,23545.16,5157.24,0,5176.9,33879.3,31363.55,14842.44,16354.22,14757.02,52.14
107,CHATTISGARH,JANJGIR-CHAMPA,20152.44,12117.48,3371.19,8242.38,43883.49,40071.25,14528.66,18923.97,20425.23,47.23
108,CHATTISGARH,JASHPUR,29183.09,1767.82,4870.86,3611.92,39433.69,35676.73,11849.74,13944.96,21515.61,39.09
109,CHATTISGARH,KANKER,54666.14,2496.52,6636.56,7856.15,71655.37,66300.67,19918.75,21769.92,44291.49,32.84
110,CHATTISGARH,KAWARDHA,30865.93,4509.37,3942.86,7713.21,47031.37,43051.19,25294.34,27517.51,15076.45,63.92
111,CHATTISGARH,KONDAGAON,27838.8,737.34,4654.5,2180.35,35410.99,32583.22,11238.13,12666.76,19732.7,38.88
112,CHATTISGARH,KORBA,31116.19,922.18,4089.97,2007.9,38136.24,34980.09,8159.85,12538.91,21923.8,35.85
113,CHATTISGARH,KORIYA,40415.7,4134.58,3332.6,2360.19,50243.07,45789.91,7799.24,9458.95,36178.96,20.66
114,CHATTISGARH,MAHASAMUND,46341.27,6775.73,1267.56,11414.38,65798.94,60132.36,33144.4,35765.66,23990.11,59.48
